canton,canton_nombre,provincia,provincia_mapa,_merge
10701,Machala,El Oro,"El Oro, Ecuador",both
10702,Arenillas,El Oro,"El Oro, Ecuador",both
10703,Atahualpa,El Oro,"El Oro, Ecuador",both
10704,Balsas,El Oro,"El Oro, Ecuador",both
10705,Chilla,El Oro,"El Oro, Ecuador",both
10706,El Guabo,El Oro,"El Oro, Ecuador",both
10707,Huaquillas,El Oro,"El Oro, Ecuador",both
10708,Marcabeli,El Oro,"El Oro, Ecuador",both
10709,Pasaje,El Oro,"El Oro, Ecuador",both
10710,Piñas,El Oro,"El Oro, Ecuador",both
10711,Portovelo,El Oro,"El Oro, Ecuador",both
10712,Santa Rosa,El Oro,"El Oro, Ecuador",both
10713,Zaruma,El Oro,"El Oro, Ecuador",both
10714,Las Lajas,El Oro,"El Oro, Ecuador",both
10801,Esmeraldas,Esmeraldas,"Esmeraldas, Ecuador",both
10802,Eloy Alfaro,Esmeraldas,"Esmeraldas, Ecuador",both
10803,Muisne,Esmeraldas,"Esmeraldas, Ecuador",both
10804,Quininde,Esmeraldas,"Esmeraldas, Ecuador",both
10805,San Lorenzo,Esmeraldas,"Esmeraldas, Ecuador",both
10806,Atacames,Esmeraldas,"Esmeraldas, Ecuador",both
10807,Rio Verde,Esmeraldas,"Esmeraldas, Ecuador",both
10808,La Concordia,Esmeraldas,"Esmeraldas, Ecuador",both
10901,Guayaquil,Guayas,"Guayas, Ecuador",both
10902,Alfredo Baquerizo Moreno (Jujan),Guayas,"Guayas, Ecuador",both
10903,Balao,Guayas,"Guayas, Ecuador",both
10904,Balzar,Guayas,"Guayas, Ecuador",both
10905,Colimes,Guayas,"Guayas, Ecuador",both
10906,Daule,Guayas,"Guayas, Ecuador",both
10907,Duran,Guayas,"Guayas, Ecuador",both
10908,El Empalme,Guayas,"Guayas, Ecuador",both
10909,El Triunfo,Guayas,"Guayas, Ecuador",both
10910,Milagro,Guayas,"Guayas, Ecuador",both
10911,Naranjal,Guayas,"Guayas, Ecuador",both
10912,Naranjito,Guayas,"Guayas, Ecuador",both
10913,Palestina,Guayas,"Guayas, Ecuador",both
10914,Pedro Carbo,Guayas,"Guayas, Ecuador",both
10916,Samborondon,Guayas,"Guayas, Ecuador",both
10918,Santa Lucia,Guayas,"Guayas, Ecuador",both
10919,Salitre,Guayas,"Guayas, Ecuador",both
10920,San Jacinto De Yaguachi,Guayas,"Guayas, Ecuador",both
10921,Playas (General Villamil),Guayas,"Guayas, Ecuador",both
10922,Simon Bolivar,Guayas,"Guayas, Ecuador",both
10923,Coronel Marcelino Maridueña,Guayas,"Guayas, Ecuador",both
10924,Lomas De Sargentillo,Guayas,"Guayas, Ecuador",both
10925,Nobol (Vicente Piedrahita),Guayas,"Guayas, Ecuador",both
10927,General Antonio Elizalde,Guayas,"Guayas, Ecuador",both
10928,Isidro Ayora,Guayas,"Guayas, Ecuador",both
11201,Babahoyo,Los Ríos,"Los Ríos, Ecuador",both
11202,Baba,Los Ríos,"Los Ríos, Ecuador",both
11203,Montalvo,Los Ríos,"Los Ríos, Ecuador",both
11204,Pueblo Viejo,Los Ríos,"Los Ríos, Ecuador",both
11205,Quevedo,Los Ríos,"Los Ríos, Ecuador",both
11206,Urdaneta,Los Ríos,"Los Ríos, Ecuador",both
11207,Ventanas,Los Ríos,"Los Ríos, Ecuador",both
11208,Vinces,Los Ríos,"Los Ríos, Ecuador",both
11209,Palenque,Los Ríos,"Los Ríos, Ecuador",both
11210,Buena Fe,Los Ríos,"Los Ríos, Ecuador",both
11211,Valencia,Los Ríos,"Los Ríos, Ecuador",both
11212,Mocache,Los Ríos,"Los Ríos, Ecuador",both
11213,Quinsaloma,Los Ríos,"Los Ríos, Ecuador",both
11301,Portoviejo,Manabí,"Manabí, Ecuador",both
11302,Bolivar,Manabí,"Manabí, Ecuador",both
11303,Chone,Manabí,"Manabí, Ecuador",both
11304,El Carmen,Manabí,"Manabí, Ecuador",both
11305,Flavio Alfaro,Manabí,"Manabí, Ecuador",both
11306,Jipijapa,Manabí,"Manabí, Ecuador",both
11307,Junin,Manabí,"Manabí, Ecuador",both
11308,Manta,Manabí,"Manabí, Ecuador",both
11309,Montecristi,Manabí,"Manabí, Ecuador",both
11310,Pajan,Manabí,"Manabí, Ecuador",both
11311,Pichincha,Manabí,"Manabí, Ecuador",both
11312,Rocafuerte,Manabí,"Manabí, Ecuador",both
11313,Santa Ana,Manabí,"Manabí, Ecuador",both
11314,Sucre,Manabí,"Manabí, Ecuador",both
11315,Tosagua,Manabí,"Manabí, Ecuador",both
11316,24 De Mayo,Manabí,"Manabí, Ecuador",both
11317,Pedernales,Manabí,"Manabí, Ecuador",both
11318,Olmedo,Manabí,"Manabí, Ecuador",both
11319,Puerto Lopez,Manabí,"Manabí, Ecuador",both
11320,Jama,Manabí,"Manabí, Ecuador",both
11321,Jaramijo,Manabí,"Manabí, Ecuador",both
11322,San Vicente,Manabí,"Manabí, Ecuador",both
12401,Santa Elena,Santa Elena,"Santa Elena, Ecuador",both
12402,La Libertad,Santa Elena,"Santa Elena, Ecuador",both
12403,Salinas,Santa Elena,"Santa Elena, Ecuador",both
20101,Cuenca,Azuay,"Azuay, Ecuador",both
20102,Giron,Azuay,"Azuay, Ecuador",both
20103,Gualaceo,Azuay,"Azuay, Ecuador",both
20104,Nabon,Azuay,"Azuay, Ecuador",both
20105,Paute,Azuay,"Azuay, Ecuador",both
20106,Pucara,Azuay,"Azuay, Ecuador",both
20107,San Fernando,Azuay,"Azuay, Ecuador",both
20108,Santa Isabel,Azuay,"Azuay, Ecuador",both
20109,Sigsig,Azuay,"Azuay, Ecuador",both
20110,Oña,Azuay,"Azuay, Ecuador",both
20111,Chordeleg,Azuay,"Azuay, Ecuador",both
20112,El Pan,Azuay,"Azuay, Ecuador",both
20113,Sevilla De Oro,Azuay,"Azuay, Ecuador",both
20114,Guachapala,Azuay,"Azuay, Ecuador",both
20115,Camilo Ponce Enriquez,Azuay,"Azuay, Ecuador",both
20201,Guaranda,Bolívar,"Bolívar, Ecuador",both
20202,Chillanes,Bolívar,"Bolívar, Ecuador",both
20203,Chimbo,Bolívar,"Bolívar, Ecuador",both
20204,Echeandia,Bolívar,"Bolívar, Ecuador",both
20205,San Miguel,Bolívar,"Bolívar, Ecuador",both
20206,Caluma,Bolívar,"Bolívar, Ecuador",both
20207,Las Naves,Bolívar,"Bolívar, Ecuador",both
20301,Azogues,Cañar,"Cañar, Ecuador",both
